,eq-eu,comm-base,eq-em,comm-enrgy,fx-dm,comm-soft,fi-us,eq-us,fi-eu,stir,eq-vol,comm-prec,eq-divf,fx-em,crypto,eq-as,fi-as,Total,,,,,,
Total PnL,0.0,0.0,0.0,178263.1535697502,1191104.1053879536,197372.77496578186,1245701.9685700336,0.0,589142.939739971,525204.4524355934,220618.12319003814,144622.50000000716,-293468.36073998385,10985520.734437851,28482.000000000015,0.0,-69300748.07979017,-54288183.68823319,,,,Settings: ,Settings: ,24102024_1407
Average Ann. PnL,0.0,0.0,0.0,46599.91151408407,311367.46323419537,51595.37270889734,325639.93369258137,0.0,154008.32034696336,137294.10997278997,57671.957514408314,37805.88174274046,-76715.79554613685,2871733.6359733804,7445.5020746888,0.0,-18115963.190982495,-14191516.897753904,,,,byac,True,
Average Ann. Vol,0.0,0.0,0.0,157378.40370763963,585130.7315461253,103466.7319004761,784901.3992436082,0.0,950822.922665297,556228.0152120701,220002.64386807944,132360.37497549367,151276.03932677422,376992.5007524715,32794.33620745396,0.0,307595.7961257307,1908211.2572035587,,,,byassets,False,
Sharpe Ratio (ann.),,,,0.2961010559025131,0.5321331566562072,0.4986663032763667,0.4148800524580454,,0.1619737142172123,0.24683062740096717,0.26214211111476576,0.2856283970919557,-0.507124564389352,7.617482125616403,0.22703621831493212,,-58.89535363993578,-7.437078491273162,,,,totalsys,True,
Sortino Ratio (ann.),,,,0.4023931825529172,0.7461241968063115,0.7797458296014256,0.32960593929865983,,0.13361255858794546,0.3409560436736862,0.06644671484869452,0.10202809958099505,-0.19302308471404775,7.273375557275624,,,-76.28660850692495,-10.44117234966398,,,,filter_assets,[],
Max drawdown,0.0,0.0,0.0,241912.4056828811,681140.9600960156,194889.50501760142,1134378.838680003,0.0,1702881.8050500024,997061.0130141391,447997.6075799906,201510.20000000022,301411.03993998846,174640.78908001864,28800.0,0.0,69300748.07979134,54365223.00084542,,,,filter_ac,[],
Average drawdown,,,,95624.3452186805,278642.2921735368,70826.51306927632,509185.6198842233,,823279.7062403993,526556.6124326934,251502.58065439164,87323.81253561164,145816.24458004028,38436.77522245981,28800.0,,34524912.58126516,28054558.873093475,,,,start_date,,
Max drawdown Duration,0.0,0.0,0.0,500.0,286.0,327.0,330.0,0.0,409.0,533.0,901.0,644.0,898.0,21.0,892.0,0.0,963.0,953.0,,,,end_date,,
Avg Drawdown Duration,0.0,0.0,0.0,282.0,55.5625,101.55555555555556,87.0,0.0,141.5,134.42857142857142,226.75,351.0,898.0,4.566666666666666,892.0,0.0,963.0,481.0,,,,,,
Total Number of Drawdowns,0.0,0.0,0.0,3.0,16.0,9.0,9.0,0.0,6.0,7.0,4.0,2.0,1.0,60.0,1.0,0.0,1.0,2.0,,,,,,
Drawdowns per year,0.0,0.0,0.0,0.7842323651452282,4.182572614107884,2.3526970954356847,2.3526970954356847,0.0,1.5684647302904564,1.829875518672199,1.045643153526971,0.5228215767634855,0.26141078838174275,15.684647302904564,0.26141078838174275,0.0,0.26141078838174275,0.5228215767634855,,,,,,
HWM PnL,0.0,0.0,0.0,249249.23116975187,1531243.37851596,226592.59296578114,2257118.307250023,0.0,778426.67181997,1034505.7494193914,275972.72705999995,144622.5000000053,0.0,10985520.734437993,57282.000000000015,0.0,0.0,34904.62282128529,,,,,,
Exposure Time,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,,,,,,
Daily PnL Skew,,,,1.5066170226605409,0.9439305278157332,1.6730542930255041,3.950823576573401,,-4.843111297555098,1.6786358769016467,-4.835339739935858,2.4051967541401797,0.9706257304523324,1.7980625594021333,19.291244958556288,,-1.1575389953226796,0.503817486404069,,,,,,
Weekly PnL Skew,,,,0.8097727304393698,-0.2917228767549726,0.6417677718964249,0.9163804896541079,,-1.990359595610494,1.2020526695072875,-4.403978494649638,1.7617836923248948,0.40437614440491654,0.808788290112474,12.490666666113501,,0.6066361864278775,0.17595125928562358,,,,,,
Monthly PnL Skew,,,,0.6751814148325366,0.9915860778943298,-0.45259022148756056,0.4688407908091648,,-0.746700187771875,0.5103181025859226,-1.7917667823443477,0.552859095706206,0.18686960511509068,-0.20227883686257275,6.408365551732825,,0.6955185711383195,0.6541682448775243,,,,,,
Quarterly PnL Skew,,,,0.4373813340060723,1.258089752530171,-0.5326973675205058,-0.4519171539830025,,-0.18570671758535182,0.6404420949266761,-1.7747879619184646,-0.3658517683514933,0.8277758496372524,-0.1850076484662937,3.3698337141982964,,1.266303899702048,0.1920384328353897,,,,,,
Yearly PnL Skew,,,,-0.3651521909104148,0.45397524307948417,0.8908079329692703,0.2622168123239665,,-0.04590544934081181,-0.27270651882662583,-0.9433117417461498,-0.888146468776644,0.22809807008414823,0.009010604437201683,2.5206083296390305,,0.6148050049707492,-0.17059282270464196,,,,,,
Daily Left Tail,,,,38.969035296620596,21.003463351870902,22.778163548136323,26.712272711822287,,49.27665177146301,50.396988207790635,35.54371925514585,0.22541792590855655,-23.17362644036132,538.7719894725864,0.22541792590854565,,-246.40694957949162,11.58722766212493,,,,,,
Daily Right Tail,,,,-47.22992592506136,-25.95051662111463,-30.388909317592297,-27.413642532146238,,-62.78968880588714,-51.2072291746605,-46.19571080861024,-22.43083005200549,14.948933865861791,-606.948990057198,0.22541792590854556,,241.0507967215523,13.693857404252451,,,,,,
Weekly Left Tail,,,,18.1219530315065,8.500049793538317,10.42847156454233,12.262114163784206,,44.3644396044901,21.143158099739214,15.884518839951221,19.21240201004325,-11.414166638481253,11.602710033310915,0.22541792590854565,,-201.0166962828929,3.0656411453224415,,,,,,
