,comm-enrgy,fx-em,crypto,eq-em,eq-divf,fi-us,eq-vol,fx-dm,comm-soft,fi-eu,stir,comm-prec,eq-us,eq-eu,comm-base,eq-as,fi-as,Total,,,,,,
Total PnL,1906445.590676506,2355134.782520583,28482.000000000015,-115729.8958879994,160451.96205999504,3935566.483440004,324676.37286999135,2486417.269208076,903835.3336361853,4123113.3811997874,3083071.308363581,1777519.3000000298,0.0,62642.11096679991,0.0,0.0,576821.4503999525,21608447.449453495,,,,Settings: ,Settings: ,24102024_1421
Average Ann. PnL,40803.82952696445,50407.16538093994,609.6028537455413,-2476.977557650403,3434.1680345777772,84233.28977636155,6949.078135148447,53217.016463430875,19344.87039887198,88247.37320047108,65987.25749172944,38044.40832342514,0.0,1340.7348363881074,0.0,0.0,12345.762315337866,462487.57917974185,,,,byac,True,
Average Ann. Vol,161200.19546837473,215025.05385948427,9380.138149553462,14307.152952058706,65040.73142904183,548129.24624323,177676.51977769964,365601.8851861816,96263.20488550603,625081.5372833645,375631.2211707122,150326.30715157208,0.0,15528.34164275011,0.0,0.0,239226.12042570135,1269006.4941509634,,,,byassets,False,
Sharpe Ratio (ann.),0.2531251864081617,0.23442461460272573,0.06498868609675662,-0.1731286137745513,0.052800267757203624,0.15367413863368898,0.03911084111644466,0.14556001656372833,0.20095809631395997,0.14117737916880183,0.17567032177482494,0.25307884590729324,,0.08634114751165792,,,0.05160708326234887,0.3644485519273659,,,,totalsys,True,
Sortino Ratio (ann.),0.10796639924451591,0.10561032129509136,,-0.005960484798357096,0.009094101686497406,0.0604853988705291,0.0071690735007746,0.08511973197582219,0.12284563677733495,0.05735570626908117,0.08566823059711615,0.0627061811501088,,0.00544818367305097,,,0.019191476446781385,0.3410456729781995,,,,filter_assets,[],
Max drawdown,637555.4000000027,889088.2197723745,28800.0,115729.8958879994,372225.31594000146,2432715.386940006,1294951.858800009,1312066.075276007,440779.6381452008,3374298.481760088,2548374.734119018,656058.0000000028,0.0,90660.45419320009,0.0,0.0,1185815.0182000222,6336417.5745806405,,,,filter_ac,[],
Average drawdown,205431.3436931248,231927.43847705083,28800.0,107135.51386232929,121700.02663099449,956703.4288962255,658945.082747119,586029.0010194943,160309.88017675173,945421.1307823904,902450.6931134084,175386.5890257184,,78189.49559882305,,,330822.25341410347,1430747.6193476403,,,,start_date,,
Max drawdown Duration,3663.0,1219.0,892.0,6725.0,1035.0,3866.0,3625.0,5766.0,4007.0,3109.0,5110.0,2726.0,0.0,6857.0,0.0,0.0,3295.0,2940.0,,,,end_date,,
Avg Drawdown Duration,299.57142857142856,238.33333333333334,892.0,6725.0,379.0,502.9047619047619,548.8888888888889,280.85714285714283,236.06382978723406,497.4761904761905,368.5769230769231,539.7647058823529,0.0,6857.0,0.0,0.0,811.0833333333334,121.78260869565217,,,,,,
Total Number of Drawdowns,35.0,30.0,1.0,1.0,6.0,21.0,9.0,35.0,47.0,21.0,26.0,17.0,0.0,1.0,0.0,0.0,12.0,92.0,,,,,,
Drawdowns per year,0.7491082045184304,0.6420927467300832,0.02140309155766944,0.02140309155766944,0.12841854934601665,0.44946492271105826,0.19262782401902498,0.7491082045184304,1.0059453032104637,0.44946492271105826,0.5564803804994055,0.3638525564803805,0.0,0.02140309155766944,0.0,0.0,0.2568370986920333,1.9690844233055886,,,,,,
