Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
4f2a369bcb_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-22,1980-01-24,-46.69125,-48.03125,4725000.0,-100.0,-124548.75000000029
4f2a369bcb_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-07,1980-02-11,-52.81125,-54.34375,4719000.0,-88.0,-122911.24999999991
4f2a369bcb_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-20,1980-02-22,1864.3799999999999,1837.6,-4443839.999999999,-24.0,-66771.99999999994
4f2a369bcb_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-22,1980-02-26,-58.465625,-58.46875,4109812.5,-69.0,-174.99999999984084
4f2a369bcb_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-25,1980-02-27,1093.3825,1090.3125,-5733328.125,-105.0,-16874.499999999658
4f2a369bcb_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-11,1980-03-13,42.8538,40.72,-373900.8,-8.0,-16728.992000000006
4f2a369bcb_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-03-14,1980-03-18,55.230199999999996,55.11,-2807040.0,-85.0,-6130.199999999846
4f2a369bcb_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-04-03,1980-04-08,53.2166,53.1,-3148200.0,-99.0,-6534.119999999897
4f2a369bcb_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-07-10,1980-07-14,48.0174,47.15,-476582.39999999997,-9.0,-8743.392000000036
4f2a369bcb_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-08-20,1980-08-22,51.0986,49.86,-563360.0,-10.0,-13872.31999999998
4f2a369bcb_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-08-26,1980-08-28,49.2662,50.09,-542192.0,-10.0,8774.304000000058
4f2a369bcb_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-29,1980-10-01,56.7322,56.67,-1487640.0,-44.0,-1319.3999999999178
4f2a369bcb_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-12-12,1980-12-16,53.7934,54.75,-1215696.0,-38.0,19676.640000000036
4f2a369bcb_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-01-30,1981-02-03,52.3118,53.1,-1654872.0,-53.0,25117.680000000106
