,fx-em,comm-prec,eq-us,eq-eu,fi-eu,fx-dm,comm-soft,stir,comm-enrgy,fi-us,eq-em,eq-vol,eq-as,comm-base,crypto,eq-divf,fi-as,Total,,,,,,
Total PnL,2355134.782520583,1777519.3000000303,0.0,62642.11096679991,3140218.966489844,2486417.2692080755,903835.3336361853,3083071.308363581,1906445.590676506,3935566.483440004,-115729.89588799942,324676.37286999135,0.0,0.0,28482.000000000015,160451.96205999504,576821.4503999525,20625553.034743547,,,,Settings: ,Settings: ,26102024_0023
Average Ann. PnL,50407.16538093994,38044.408323425145,0.0,1340.7348363881074,67210.39405091223,53217.01646343086,19344.87039887198,65987.25749172944,40803.82952696445,84233.28977636155,-2476.9775576504035,6949.078135148447,0.0,0.0,609.6028537455413,3434.1680345777772,12345.762315337866,441450.6000301829,,,,byac,True,
Average Ann. Vol,215025.05385948438,150326.30715157205,0.0,15528.34164275011,483152.74992009223,365601.8851861817,96263.20488550606,375631.22117071215,161200.19546837476,548129.2462432298,14307.152952058706,177676.51977769964,0.0,0.0,9380.138149553462,65040.73142904183,239226.12042570137,1181162.797098955,,,,byassets,False,
Sharpe Ratio (ann.),0.23442461460272562,0.25307884590729335,,0.08634114751165792,0.1391079613269883,0.14556001656372822,0.20095809631395992,0.17567032177482497,0.2531251864081617,0.153674138633689,-0.17312861377455133,0.03911084111644466,,,0.06498868609675662,0.052800267757203624,0.05160708326234886,0.37374238429658174,,,,totalsys,True,
Sortino Ratio (ann.),0.10561032129509136,0.0627061811501088,,0.00544818367305097,0.05658899817042907,0.08511973197582222,0.12284563677733497,0.0856682305971161,0.10796639924451591,0.060485398870529096,-0.005960484798357096,0.0071690735007746,,,,0.009094101686497406,0.019191476446781385,0.3535932020334359,,,,filter_assets,[],
Max drawdown,889088.2197723745,656058.0000000028,0.0,90660.45419320009,2539854.637130063,1312066.0752760067,440779.6381452007,2548374.734119018,637555.4000000027,2432715.386940006,115729.89588799942,1294951.858800009,0.0,0.0,28800.0,372225.31594000146,1185815.0182000222,5883384.2402006285,,,,filter_ac,[],
Average drawdown,231927.4384770508,175386.5890257184,,78189.49559882305,736876.8415421308,586029.0010194943,160309.88017675173,902450.6931134084,205431.3436931248,956703.4288962255,107135.51386232929,658945.082747119,,,28800.0,121700.02663099449,330822.25341410347,1321919.0759507702,,,,start_date,,
Max drawdown Duration,1219.0,2726.0,0.0,6857.0,3109.0,5766.0,4007.0,5110.0,3663.0,3866.0,6725.0,3625.0,0.0,0.0,892.0,1035.0,3295.0,2940.0,,,,end_date,,
Avg Drawdown Duration,238.33333333333334,539.7647058823529,0.0,6857.0,497.4761904761905,280.85714285714283,236.06382978723406,368.5769230769231,299.57142857142856,502.9047619047619,6725.0,548.8888888888889,0.0,0.0,892.0,379.0,811.0833333333334,119.2872340425532,,,,,,
Total Number of Drawdowns,30.0,17.0,0.0,1.0,21.0,35.0,47.0,26.0,35.0,21.0,1.0,9.0,0.0,0.0,1.0,6.0,12.0,94.0,,,,,,
Drawdowns per year,0.6420927467300832,0.3638525564803805,0.0,0.02140309155766944,0.44946492271105826,0.7491082045184304,1.0059453032104637,0.5564803804994055,0.7491082045184304,0.44946492271105826,0.02140309155766944,0.19262782401902498,0.0,0.0,0.02140309155766944,0.12841854934601665,0.2568370986920333,2.0118906064209274,,,,,,
HWM PnL,2658060.097130234,1777519.30000003,0.0,153302.56516,4094927.2778999293,2830616.5423360723,1086829.809546186,3622785.0388364573,1977431.668276506,4796337.353370008,0.0,1127787.285469998,0.0,0.0,57282.000000000015,524734.5987999975,1148024.994199939,22055316.65439332,,,,,,
Exposure Time,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,,,,,,
Daily PnL Skew,2.224975451543276,3.7971786927608986,,36.377609983484696,2.3336936310553473,0.7595821250525783,0.15563142118381576,2.967346645585657,2.376346732374496,2.1383774898709254,-52.22587039276955,-0.1207302156403564,,,67.5379288284958,14.78408357425177,5.658747520524214,2.099651888926492,,,,,,
Weekly PnL Skew,1.3990076764242614,3.1061770344003645,,33.03632558112003,0.9023113640899626,1.055252924619924,0.07978223559491161,2.552958566564604,1.8472524896364815,1.4078642916276742,-33.83166313875475,-1.6409859681760386,,,43.91941267929852,14.824857593550766,3.1460290336514234,1.9773355155855334,,,,,,
Monthly PnL Skew,0.8389462201002427,1.828586162504172,,17.013861701329983,1.5863981819852118,1.3230111055398748,0.1438559832764945,1.483925861000937,1.4406676109455387,0.9727167954691064,-17.54756049726681,-0.3842861980805056,,,23.26221042997086,5.431962462550991,2.085515512841598,1.5857866587185152,,,,,,
Quarterly PnL Skew,0.4439947754790039,1.1613967469192612,,9.848131507043208,1.1870329183036679,1.5250763415042778,-0.05505851683128564,1.141576289167606,1.3541235209748708,0.39112640519421754,-9.976732009392258,0.35807274592622396,,,13.455288512515702,3.156532413342911,1.5659581277922066,0.7722903888576588,,,,,,
Yearly PnL Skew,0.5258880776564516,0.8187066954596652,,4.763579028221034,0.18358334513448044,0.997207216054552,0.1266990227711723,0.7428610604562355,0.7236449934038685,0.7659241650482542,-4.697342593502601,0.0439753209122153,,,6.511757613102559,0.9728557117738201,0.3694990059737751,0.20821867157434762,,,,,,
Daily Left Tail,49.52459018139888,5.508431926753119,,0.22541792590854565,72.89533583941582,84.3045075780457,63.58192845456138,71.74352333919025,44.450858772576154,66.98812444501779,0.22541792590854565,0.22541792590854565,,,0.22541792590854565,0.22541792590854565,177.88093938814015,28.276555031193954,,,,,,
Daily Right Tail,-52.6305423248982,-23.07945845957369,,0.22541792590854556,-76.84562735575437,-88.38158975729348,-69.30892606395153,-70.54242595255222,-48.91749841701399,-71.74237938653408,0.22541792590854556,0.22541792590854556,,,0.22541792590854556,0.22541792590854556,-127.62617566539633,-33.372035321458235,,,,,,
Weekly Left Tail,21.624833280977683,18.47416389233254,,0.22541792590854565,36.29188099321533,35.45923125697092,23.94630435030322,31.283294691051374,21.387285267081648,31.577828021011925,0.22541792590854565,99.30950221960184,,,0.22541792590854565,0.6997798944723974,93.83544690214498,3.208008245805802,,,,,,
Weekly Right Tail,-27.265351360134936,-24.985814519648155,,0.22541792590854556,-41.84765159421198,-37.139499192734725,-26.897893875372077,-34.376334040167016,-23.57459505475078,-36.530669043670635,0.22541792590854556,-127.14785376230579,,,0.22541792590854556,0.22541792590854556,-117.91258396403632,8.82811234742603,,,,,,
Monthly Left Tail,9.315498895027817,10.65992579082042,,0.22541792590854565,15.795006871615104,2.110524842579785,1.7563574298740332,11.447344814736221,7.9026820174837304,15.124309461925574,0.22541792590854565,69.29818768245413,,,0.22541792590854565,46.51887244057618,39.73005603460715,1.2902449839139825,,,,,,
Monthly Right Tail,-11.40916218275555,-13.788462209963932,,0.22541792590854556,-20.86937973564435,4.539285281470232,1.906940925765547,-17.231666128969298,-12.3065961027198,-21.166946145601887,0.22541792590854556,-68.95617008135622,,,0.22541792590854556,-49.04004754864723,-61.124581241596694,4.846337777182549,,,,,,
Quarterly Left Tail,5.190880710989749,5.067246100882354,,3.11586191888512,2.0168696551544474,1.1511657925464804,1.2653360109643843,1.3036340660875048,1.4193227472986982,1.50754695442338,-17.32387554082601,43.316983291600366,,,0.22541792590854565,19.788450533289755,1.55590620506554,1.2304849814611085,,,,,,
Quarterly Right Tail,-6.417134218695037,-6.606005552885048,,0.22541792590854556,8.940637532061404,3.5684540296417055,1.3027951943263785,4.703750029270008,5.816782092953454,3.285889264324192,0.22541792590854556,-50.38475174683135,,,0.22541792590854556,-36.6009345130754,-28.8637951752591,3.1821385793568675,,,,,,
Yearly Left Tail,2.0903488544121203,1.250430418861695,,7.8877527730853,1.455712541889754,0.9211438649030307,1.2537638382892906,0.821304432514753,0.8586803823151623,1.0411532684970188,-6.381118543015985,21.578688373540714,,,0.22541792590854565,6.56809886843356,1.0503259196759442,1.121352474370068,,,,,,
Yearly Right Tail,3.2266923920720245,2.437985772759916,,-18.43605451718801,1.8884275402697779,2.4961354418265875,1.1817939158930229,2.4814513470468156,2.167201765263414,2.873124667154729,0.9164914521527668,-20.768485320573046,,,-10.006051266718218,-10.23968622550315,1.7288615884581404,1.4711679182992474,,,,,,
Num_Trades,,,,,,,,,,,,,,,,,,5827.0,,,,,,
Hit Rate (%),,,,,,,,,,,,,,,,,,49.3049596704994,,,,,,
Average Win,,,,,,,,,,,,,,,,,,48401.76342867538,,,,,,
Average Loss,,,,,,,,,,,,,,,,,,-54075.11661541751,,,,,,
W/L ratio,,,,,,,,,,,,,,,,,,0.895083847398961,,,,,,
Total Wins,,,,,,,,,,,,,,,,,,2873.0,,,,,,
Total Losses,,,,,,,,,,,,,,,,,,2953.0,,,,,,
Total PnL Winners,,,,,,,,,,,,,,,,,,139058266.33058438,,,,,,
Total PnL Losers,,,,,,,,,,,,,,,,,,-159683819.3653279,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,0.8708350469276042,,,,,,
PnL Skew,,,,,,,,,,,,,,,,,,-0.7011872304503711,,,,,,
Trade EV,,,,,,,,,,,,,,,,,,-3539.6521425679675,,,,,,
Best Trade,,,,,,,,,,,,,,,,,,382793.0039999995,,,,,,
Worst Trade,,,,,,,,,,,,,,,,,,-750296.1557999995,,,,,,
25p Trade,,,,,,,,,,,,,,,,,,-36706.017900000974,,,,,,
50p Trade,,,,,,,,,,,,,,,,,,-817.6623500146779,,,,,,
75p Trade,,,,,,,,,,,,,,,,,,33205.59999999961,,,,,,
Pareto Number (%),,,,,,,,,,,,,,,,,,0.15445340655568904,,,,,,
