Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
7a44151016_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-23,1980-02-07,,,4054036.8750000005,-87.0,-645494.3749999998
7a44151016_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-08,1980-02-22,,,4161374.3749999995,-79.0,-491281.87500000023
7a44151016_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-21,2024-10-22,,,-4479624.0,-24.0,2332556.0000000047
7a44151016_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-25,1984-02-14,,,3263837.5,-56.0,-286693.75
7a44151016_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-26,2024-10-22,,,-5850773.375,-107.0,-1763754.6249999998
7a44151016_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-12,1981-09-02,,,-337442.224,-7.0,-277309.424
7a44151016_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-03-17,1980-12-12,,,-2818356.9,-85.0,-3690.8999999998778
7a44151016_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-12-15,1981-01-30,,,-1098994.9200000002,-34.0,-64042.92000000007
7a44151016_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-02-02,1981-04-30,,,-1696370.0399999998,-54.0,-15968.039999999964
7a44151016_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-05-01,1981-06-30,,,-2353936.5,-75.0,-183388.50000000015
7a44151016_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-07-01,1981-07-31,,,-2713814.1599999997,-92.0,46827.8400000001
7a44151016_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-08-03,1981-11-11,,,-1621801.4400000002,-54.0,-147985.4400000003
7a44151016_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-09-03,1981-10-21,,,-909311.4239999999,-28.0,-65189.82399999996
7a44151016_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-10-22,1982-02-25,,,-1230427.52,-40.0,-29171.520000000022
7a44151016_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-11-12,1981-12-09,,,-2295376.62,-83.0,-62854.620000000315
7a44151016_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-12-10,1982-03-04,,,-2329131.1199999996,-86.0,-166959.1199999998
7a44151016_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-02-26,1982-03-29,,,-1452432.352,-47.0,-97288.35199999998
7a44151016_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-03-05,1982-06-02,,,-2268966.0,-89.0,-13782.000000000007
7a44151016_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-03-30,1982-04-19,,,-1491837.312,-51.0,-77501.31199999986
7a44151016_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-04-20,1982-04-23,,,-1999594.016,-71.0,-50413.2160000001
7a44151016_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-04-26,1982-06-07,,,-1659006.7200000002,-60.0,-132379.51999999996
7a44151016_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-06-03,1982-08-02,,,-1775810.4000000001,-70.0,-74858.40000000024
7a44151016_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-06-08,1982-08-18,,,-1488818.2400000002,-58.0,1364.1599999999507
7a44151016_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-08-03,1982-08-13,,,-3012216.6,-122.0,-119244.59999999982
7a44151016_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-08-16,1982-11-30,,,-2242627.56,-94.0,-50995.559999999954
7a44151016_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-08-19,1983-01-05,,,-1048516.896,-42.0,-121011.29599999994
7a44151016_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-10-27,1982-11-17,,,2254359.375,-75.0,53781.25000000003
7a44151016_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-11-18,1983-01-25,,,2776230.9375,-97.0,-46190.9375
7a44151016_BO1Com_13,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-12-01,1984-02-15,,,-2705713.92,-116.0,303514.0800000002
7a44151016_SB1Com_10,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-01-06,1983-03-02,,,-1402636.9279999998,-61.0,-45532.92800000005
7a44151016_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1983-01-26,1983-06-01,,,3902381.5624999995,-139.0,153772.18749999994
7a44151016_SB1Com_11,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-03-03,1983-04-14,,,-1373238.832,-61.0,25596.36799999996
7a44151016_SB1Com_12,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-04-15,1983-07-19,,,-1662458.112,-72.0,200617.0879999999
7a44151016_G1Comd_1,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-04-26,1983-06-29,,,-54099.763200000045,-64.0,75212.78599999996
7a44151016_CL1Com_1,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-05-09,1983-08-19,,,-8423296.0,-136.0,256074.00000000023
7a44151016_TY1Com_4,US 10YR NOTE,fi-us,TY1 Comdty,1983-06-02,1983-06-09,,,4398504.0625,-163.0,-146011.56250000006
7a44151016_TY1Com_5,US 10YR NOTE,fi-us,TY1 Comdty,1983-06-10,1983-06-28,,,4666075.0,-170.0,-159549.99999999974
7a44151016_TY1Com_6,US 10YR NOTE,fi-us,TY1 Comdty,1983-06-29,1983-07-11,,,4252112.812500001,-151.0,-211652.81249999994
7a44151016_G1Comd_2,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-06-30,1983-10-14,,,-135783.50370000006,-78.0,-184437.36000000004
7a44151016_TY1Com_7,US 10YR NOTE,fi-us,TY1 Comdty,1983-07-12,1983-09-01,,,3528019.6874999995,-121.0,-252339.68750000012
7a44151016_SB1Com_13,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-07-20,1983-08-15,,,-660196.992,-26.0,9753.40800000008
7a44151016_SB1Com_14,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-08-16,1983-09-08,,,-658582.4,-25.0,-33308.80000000002
7a44151016_CL1Com_2,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-08-22,1983-09-07,,,-11819372.5,-185.0,-82562.50000000073
7a44151016_TY1Com_8,US 10YR NOTE,fi-us,TY1 Comdty,1983-09-02,1983-10-14,,,3761641.2499999995,-122.0,175766.24999999988
7a44151016_CL1Com_3,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-09-08,1983-09-13,,,-12462111.2,-196.0,-63191.1999999994
7a44151016_SB1Com_15,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-09-09,1983-11-03,,,-889628.3200000001,-35.0,-141557.92000000004
7a44151016_CL1Com_4,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-09-14,1983-10-04,,,-12673180.0,-200.0,-233690.00000000128
7a44151016_CL1Com_5,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-10-05,1983-11-18,,,-8228219.999999999,-132.0,-173640.00000000017
7a44151016_TY1Com_9,US 10YR NOTE,fi-us,TY1 Comdty,1983-10-17,1984-02-14,,,4536220.625,-157.0,-63357.499999999825
7a44151016_G1Comd_3,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-10-17,1983-12-06,,,11931.475499999942,-75.0,363296.91675
7a44151016_SB1Com_16,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-11-04,1984-01-10,,,-962689.5040000001,-43.0,-94241.5040000001
7a44151016_CL1Com_6,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-11-21,1983-12-19,,,-8071355.399999999,-131.0,-56835.39999999948
7a44151016_G1Comd_4,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-12-07,1983-12-14,,,-282706.07625000004,-65.0,-125229.34550000004
7a44151016_G1Comd_5,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-12-15,1984-02-09,,,-215099.81000000006,-68.0,-47638.55600000004
7a44151016_CL1Com_7,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-12-20,1984-03-19,,,-7042347.0,-115.0,303773.00000000035
7a44151016_SB1Com_17,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-01-11,1984-01-25,,,-1254737.7919999997,-61.0,-19836.9919999998
7a44151016_SB1Com_18,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-01-26,1984-02-15,,,-976899.84,-48.0,-55901.439999999995
7a44151016_G1Comd_6,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-02-10,1984-03-16,,,-320668.544,-82.0,202874.7967999999
7a44151016_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1984-02-15,1984-02-24,,,12452807.812500002,-223.0,-309192.18749999965
7a44151016_TY1Com_10,US 10YR NOTE,fi-us,TY1 Comdty,1984-02-15,1984-02-24,,,7327082.1875,-251.0,-221870.93750000003
7a44151016_SB1Com_19,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-02-16,1984-02-21,,,-1211193.312,-62.0,-20902.11200000007
7a44151016_BO1Com_14,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-02-16,1984-06-12,,,-1071367.2,-40.0,225754.79999999996
7a44151016_SB1Com_20,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-02-22,1984-03-08,,,-1162687.68,-60.0,-36124.47999999997
7a44151016_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1984-02-27,1984-05-08,,,10807437.5,-190.0,-910031.2499999998
7a44151016_TY1Com_11,US 10YR NOTE,fi-us,TY1 Comdty,1984-02-27,1984-04-23,,,6699867.1875,-225.0,-630523.4375
7a44151016_SB1Com_21,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-03-09,1984-07-18,,,-1271102.56,-67.0,-243816.15999999997
7a44151016_G1Comd_7,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-03-19,1984-04-24,,,-800641.1204999998,-117.0,-461617.81669999997
7a44151016_CL1Com_8,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-03-20,1984-07-24,,,-7856379.000000001,-123.0,-276999.00000000023
7a44151016_TY1Com_12,US 10YR NOTE,fi-us,TY1 Comdty,1984-04-24,1984-05-08,,,6621243.75,-205.0,-324303.12500000035
7a44151016_G1Comd_8,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-04-25,1984-05-09,,,-440377.89264000015,-126.0,-353756.34030000016
7a44151016_TY1Com_13,US 10YR NOTE,fi-us,TY1 Comdty,1984-05-09,1984-05-14,,,7098820.0,-212.0,-382055.0000000001
7a44151016_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1984-05-09,1984-05-14,,,10354522.5,-168.0,-348446.25000000023
7a44151016_G1Comd_9,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-05-10,1984-05-25,,,-138298.56300000005,-117.0,-635137.4170000001
7a44151016_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1984-05-15,1984-05-31,,,8983851.875,-142.0,-275460.6250000001
7a44151016_TY1Com_14,US 10YR NOTE,fi-us,TY1 Comdty,1984-05-15,1984-05-31,,,5758654.687499999,-165.0,-311923.43750000035
7a44151016_G1Comd_10,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-05-29,1984-07-10,,,279997.7544,-78.0,-165469.47260000004
7a44151016_TY1Com_15,US 10YR NOTE,fi-us,TY1 Comdty,1984-06-01,1985-01-03,,,5823650.0,-160.0,1533275.0
7a44151016_US1Com_8,US LONG BOND(CBT),fi-us,US1 Comdty,1984-06-01,1984-12-10,,,8937052.5,-138.0,1548865.0000000005
7a44151016_BO1Com_15,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-06-13,1984-06-18,,,-958872.6,-30.0,-34392.59999999998
7a44151016_BO1Com_16,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-06-19,1984-07-09,,,-874137.6,-28.0,-64545.59999999995
7a44151016_BO1Com_17,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-07-10,1984-07-12,,,-758486.0399999999,-26.0,-29030.040000000008
7a44151016_G1Comd_11,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-07-11,1984-09-06,,,415969.22250000003,-75.0,396648.261
7a44151016_BO1Com_18,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-07-13,1984-08-22,,,-712792.5,-25.0,-2698.500000000081
7a44151016_SB1Com_22,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-07-19,1984-12-12,,,-1298231.872,-82.0,-148014.272
7a44151016_CL1Com_9,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-07-25,1984-11-27,,,-9663560.4,-156.0,-324360.4000000004
7a44151016_BO1Com_19,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-08-23,1984-11-27,,,-977474.1599999999,-34.0,42795.840000000026
7a44151016_G1Comd_12,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-09-07,1984-10-19,,,-67421.38,-65.0,40555.14600000002
7a44151016_G1Comd_13,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-10-22,1984-12-14,,,-164968.8942,-68.0,245759.7388
7a44151016_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1984-10-23,1985-01-08,,,-4217910.375,-51.0,58964.62499999934
7a44151016_BO1Com_20,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-11-28,1985-07-05,,,-1317243.8399999999,-44.0,201974.15999999986
7a44151016_CL1Com_10,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-11-28,1985-01-07,,,-5965363.8,-99.0,-221853.80000000034
7a44151016_US1Com_9,US LONG BOND(CBT),fi-us,US1 Comdty,1984-12-11,1985-01-03,,,6393486.25,-122.0,-38201.24999999993
7a44151016_SB1Com_23,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-12-13,1985-03-11,,,-1189079.248,-83.0,-89261.64800000004
7a44151016_G1Comd_14,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-12-17,1985-01-15,,,-817958.0639999999,-120.0,-452555.87100000004
7a44151016_TY1Com_16,US 10YR NOTE,fi-us,TY1 Comdty,1985-01-04,1986-01-14,,,3523613.75,-134.0,2450676.25
7a44151016_US1Com_10,US LONG BOND(CBT),fi-us,US1 Comdty,1985-01-04,1985-04-30,,,6425596.875,-123.0,119440.62500000017
7a44151016_CL1Com_11,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-01-08,1985-12-11,,,-4798508.8,-82.0,926481.1999999997
7a44151016_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1985-01-09,1985-02-25,,,-6542152.5,-78.0,-66552.50000000045
7a44151016_G1Comd_15,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1985-01-16,1985-01-29,,,-249500.61405000003,-87.0,-345838.36929999996
7a44151016_G1Comd_16,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1985-01-30,1985-09-04,,,-6411.478320000047,-78.0,827443.9835999999
7a44151016_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1985-02-26,1985-03-19,,,-4887936.124999999,-59.0,-159686.12500000003
7a44151016_SB1Com_24,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1985-03-12,1985-05-08,,,-1024706.592,-78.0,-134060.19200000004
7a44151016_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1985-03-20,1985-04-09,,,-3371591.9999999995,-42.0,-1754.4999999999654
