Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
3455_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-25,1980-02-07,-48.6875,-52.6875,-7877125.0,164.0,-757156.25
3455_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-01-25,1980-02-07,57.02,57.9,4102559.9999999995,120.0,75431.99999999967
3455_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-01-25,1980-02-07,2387.0,2393.75,7040912.5,59.0,17450.0
3455_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-01-25,1980-02-07,346.22,350.58,2486910.0,19.0,33112.49999999963
3455_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-01-25,1980-02-07,291.8125,307.8125,628471.875,43.0,42762.5
3455_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-25,1980-02-07,42.54,44.85,2738097.6,57.0,30329.600000000035
3455_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-25,1980-02-07,1917.1,1906.1,6102720.0,32.0,-20620.0
3455_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-01-25,1980-02-07,198.7,203.6,5644425.0,57.0,138825.00000000017
3455_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-01-25,1980-02-07,1096.5625,1099.5625,6029718.75,110.0,17075.0
3455_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-01-25,1980-02-07,-418.7,-420.2,-2725450.0,65.0,-8069.999999999951
3455_S1Comd_2,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-02-25,1980-03-07,271.3125,254.5625,895331.25,66.0,-61150.0
3455_W1Comd_2,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-02-25,1980-03-07,2382.75,2374.0,9885300.0,83.0,-33987.5
3455_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-25,1980-03-07,1862.6,1801.1,9188000.0,50.0,-351450.0
3455_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-25,1980-03-07,361.29,373.77,3913586.25,29.0,143156.2499999996
3455_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-02-25,1980-03-07,-429.2,-433.1,-5232580.0,122.0,-54860.0000000005
3455_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-25,1980-03-07,-57.75,-57.03125,-6508093.75,113.0,99687.5
3455_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-25,1980-03-07,201.1,198.325,5335775.0,53.0,-77362.50000000015
3455_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-02-25,1980-03-07,56.18,55.58,5191032.0,154.0,-61368.00000000014
3455_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-25,1980-03-07,45.7,44.64,836864.0,16.0,-18233.60000000004
3455_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-25,1980-03-07,1092.5625,1085.8125,11466656.25,210.0,-76525.0
3455_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-25,1980-04-08,41.6,42.28,750848.0,16.0,15478.400000000001
3455_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-03-25,1980-04-08,1077.5625,1083.5625,13137112.5,244.0,45600.0
3455_GC1Com_3,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-03-25,1980-04-08,1745.8,1731.1,8732500.0,50.0,-49320.00000000023
3455_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-03-25,1980-04-08,54.68,53.1,6398730.0,195.0,-187811.9999999998
3455_W1Comd_3,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-03-25,1980-04-08,2347.75,2334.5,11872550.0,101.0,-82925.0
3455_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-03-25,1980-04-08,-59.09375,-53.28125,-6219375.0,107.0,651375.0
3455_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-03-25,1980-04-08,-441.7,-447.0,-7950600.0,180.0,-99030.00000000025
3455_S1Comd_3,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-03-25,1980-04-08,223.0625,195.5625,973584.375,87.0,-125387.5
3455_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-03-25,1980-04-08,191.95,184.05,5662525.0,59.0,-233249.9999999993
3455_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-03-25,1980-04-08,370.64,368.89,4740705.0,34.0,-31072.500000000007
3455_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-24,1980-05-07,-49.65625,-42.875,-5726687.5,118.0,833968.75
3455_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-04-24,1980-05-07,188.175,184.075,4221000.0,45.0,-87650.00000000052
3455_C1Comd_4,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-04-24,1980-05-07,1078.3125,1079.8125,10290721.875,191.0,19762.5
3455_GC1Com_4,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-04-24,1980-05-07,1718.6,1696.6,11692740.0,69.0,-155700.0
3455_S1Comd_4,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-04-24,1980-05-07,200.8125,206.5625,843890.625,85.0,29750.0
3455_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-04-24,1980-05-07,52.86,52.78,5077440.0,160.0,-2237.9999999998345
3455_SM1Com_4,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-04-24,1980-05-07,-445.8,-442.8,-7532330.0,169.0,62279.99999999996
3455_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-04-24,1980-05-07,44.82,50.75,1101408.0,22.0,161963.2
3455_W1Comd_4,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-04-24,1980-05-07,2317.0,2348.0,6829987.5,59.0,100525.0
3455_KC1Com_4,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-04-24,1980-05-07,369.44,372.85,5825452.5,42.0,32613.75000000029
3455_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-23,1980-06-06,-42.8125,-41.25,-5117500.0,115.0,193187.5
3455_KC1Com_5,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-05-23,1980-06-06,378.94,370.17,4407967.5,31.0,-100034.9999999998
3455_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-23,1980-06-06,57.22,52.6,1000473.6,16.0,-86239.99999999996
3455_S1Comd_5,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-05-23,1980-06-06,208.8125,196.3125,791484.375,75.0,-53037.5
3455_W1Comd_5,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-05-23,1980-06-06,2333.0,2310.0,7126325.0,61.0,-76675.0
3455_C1Comd_5,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-05-23,1980-06-06,1077.5625,1071.8125,10937259.375,203.0,-62375.0
3455_GC1Com_5,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-05-23,1980-06-06,1693.6,1786.1,17436870.0,103.0,954200.0
3455_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-05-23,1980-06-06,54.06,53.27,4616136.0,142.0,-70871.99999999993
3455_FC1Com_5,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-05-23,1980-06-06,185.0,185.6,4351612.5,47.0,15737.499999999889
3455_SM1Com_5,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-05-23,1980-06-06,-446.8,-450.2,-6472800.0,145.0,-55459.999999999636
3455_FC1Com_6,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-06-24,1980-07-08,191.7,188.4,4763125.0,50.0,-83899.99999999956
3455_S1Comd_6,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-06-24,1980-07-08,230.5625,308.0625,1021781.25,90.0,317950.0
3455_C1Comd_6,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-06-24,1980-07-08,1081.3125,1097.0625,15066871.875,279.0,206775.0
3455_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1980-06-24,1980-07-08,-40.65625,-43.65625,-4993031.25,123.0,-404250.0
3455_W1Comd_6,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-06-24,1980-07-08,2346.0,2348.75,9145500.0,78.0,12225.0
3455_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-24,1980-07-08,54.72,57.19,5085240.0,155.0,221465.99999999988
3455_GC1Com_6,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-24,1980-07-08,1795.1,1848.6,15842890.0,89.0,502200.0
3455_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-06-24,1980-07-08,53.76,48.78,913752.0,15.0,-97753.59999999995
3455_KC1Com_6,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-06-24,1980-07-08,350.39,336.98,3546585.0,27.0,-120449.9999999998
3455_SM1Com_6,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-06-24,1980-07-08,-444.5,-422.5,-8890000.0,200.0,366050.0
3455_W1Comd_7,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-07-25,1980-08-07,2357.5,2361.25,6833125.0,58.0,11037.5
3455_KC1Com_7,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-07-25,1980-08-07,326.64,315.48,2481075.0,20.0,-91177.49999999975
3455_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-25,1980-08-07,58.07,58.8,2612250.0,75.0,32171.99999999987
3455_C1Comd_7,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-07-25,1980-08-07,1117.3125,1135.5625,6537740.625,117.0,102912.5
3455_S1Comd_7,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-25,1980-08-07,310.0625,331.5625,448140.625,29.0,33012.5
3455_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-07-25,1980-08-07,48.11,51.15,964656.0000000001,18.0,61252.79999999999
3455_GC1Com_7,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-07-25,1980-08-07,1826.6,1802.6,16657519.999999998,92.0,-227760.0000000001
3455_FC1Com_7,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-07-25,1980-08-07,191.75,192.275,4879425.0,51.0,10937.500000000142
3455_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1980-07-25,1980-08-07,-45.4375,-47.5625,-5551000.0,122.0,-262656.25
3455_SM1Com_7,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-25,1980-08-07,-421.4,-411.6,-2155770.0,51.0,52859.99999999977
3455_KC1Com_8,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-08-25,1980-09-08,302.46,303.55,1953682.5,17.0,11006.250000000215
3455_C1Comd_8,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-08-25,1980-09-08,1132.8125,1153.0625,6285721.875,111.0,116187.5
3455_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-08-25,1980-09-08,56.87,59.15,2833122.0,83.0,125388.00000000007
3455_W1Comd_8,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-08-25,1980-09-08,2348.0,2378.25,10457500.0,89.0,145150.0
3455_GC1Com_8,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-08-25,1980-09-10,1802.1,1844.8,18219390.000000004,101.0,493590.00000000035
3455_US1Com_8,US LONG BOND(CBT),fi-us,US1 Comdty,1980-08-25,1980-09-08,-50.6875,-50.75,-7077812.5,142.0,-10375.0
3455_FC1Com_8,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-08-25,1980-09-08,191.275,192.3,5840750.0,61.0,33412.5000000002
3455_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-08-25,1980-09-08,49.01,50.81,1116864.0,20.0,41966.40000000009
3455_SM1Com_8,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-08-25,1980-09-08,-410.8,-386.0,-2464800.0,60.0,154510.00000000012
3455_S1Comd_8,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-08-25,1980-09-08,314.3125,394.0625,514490.625,33.0,137537.5
3455_KC1Com_9,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-09-24,1980-10-07,294.21,292.58,1995097.5,18.0,-10282.499999999993
3455_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-24,1980-10-07,58.37,56.79,3575304.0,102.0,-94247.99999999987
3455_S1Comd_9,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-09-24,1980-10-07,411.8125,366.3125,848315.625,41.0,-90612.5
3455_W1Comd_9,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-09-24,1980-10-07,2398.0,2387.0,11260025.0,94.0,-57750.0
3455_SM1Com_9,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-24,1980-10-07,-374.2,-385.0,-2652560.0,71.0,-75670.00000000007
3455_GC1Com_9,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-09-24,1980-10-07,1878.5,1830.0,19297050.0,103.0,-514650.0
3455_US1Com_9,US LONG BOND(CBT),fi-us,US1 Comdty,1980-09-24,1980-10-07,-52.78125,-51.625,-7650500.0,143.0,167875.0
3455_C1Comd_9,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-09-24,1980-10-07,1148.0625,1141.3125,7921631.25,138.0,-47950.0
3455_FC1Com_9,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-09-24,1980-10-07,190.05,190.65,5981850.0,63.0,18087.499999999865
3455_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-09-24,1980-10-07,55.53,58.78,1229312.0000000002,20.0,74132.79999999999
3455_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-10-27,1980-11-10,56.97,57.95,2951520.0,86.0,52554.000000000204
3455_SM1Com_10,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-10-27,1980-11-10,-352.6,-358.8,-2168760.0,62.0,-28889.99999999992
3455_US1Com_10,US LONG BOND(CBT),fi-us,US1 Comdty,1980-10-27,1980-11-10,-54.4375,-58.0,-8075000.0,152.0,-489343.75
3455_S1Comd_10,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-10-27,1980-11-10,448.0625,432.0625,838165.625,37.0,-23250.0
3455_KC1Com_10,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-10-27,1980-11-10,291.46,273.97,2837835.0,26.0,-183382.49999999953
3455_SB1Com_10,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-10-27,1980-11-10,57.53,56.14,1437251.2,22.0,-27619.20000000002
3455_FC1Com_10,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-10-27,1980-11-10,189.825,187.175,7318849.999999999,77.0,-110087.49999999908
