Date,SEK,CNH,EUR,KRW,ZAR,BRL,CZK,CHF,SGD,CAD,HKD,HUF,AUD,GBP,TRY,JPY,USD
1980-01-01,0.24079,,,,,,,0.627,,,,,,2.2185,,0.004161,1.0
1980-01-02,0.241663,,1.5149,,1.20904,,,0.6339,,0.8578,0.20738,,1.108,2.2427,,0.004194,1.0
1980-01-03,0.242248,,1.5177,,1.20904,,,0.6361,,0.8545,0.20777,,1.1094,2.24,,0.004196,1.0
1980-01-04,0.241517,,1.5129,,1.20948,,,0.6347,,0.8557,0.20759,,1.109,2.237,,0.004259,1.0
1980-01-07,0.242307,,1.5168,,1.20948,,,0.6369,,0.8551,0.20872,,1.1132,2.2615,,0.004319,1.0
1980-01-08,0.241633,,1.5108,,1.20948,,,0.6341,,0.8548,0.20868,,1.1125,2.262,,0.00426,1.0
1980-01-09,0.242043,,1.5161,,1.20948,,,0.6353,,0.8557,0.20863,,1.113,2.266,,0.004256,1.0
1980-01-10,0.241692,,1.5133,,1.21447,,,0.6333,,0.8584,0.20842,,1.112,2.258,,0.004241,1.0
1980-01-11,0.241546,,1.5108,,1.21624,,,0.6317,,0.8584,0.20815,,1.111,2.257,,0.004236,1.0
1980-01-14,0.241458,,1.511,,1.20293,,,0.6317,,0.8574,0.20639,,1.1108,2.2755,,0.004234,1.0
1980-01-15,0.241138,,1.5047,,1.21862,,,0.627,,0.8578,0.20588,,1.1085,2.2765,,0.004173,1.0
1980-01-16,0.241196,,1.5074,,1.213,,,0.6309,,0.8588,0.20648,,1.1105,2.271,,0.004199,1.0
1980-01-17,0.241255,,1.5074,,1.213,,,0.6277,,0.8611,0.20597,,1.11,2.277,,0.004168,1.0
1980-01-18,0.24108,,1.5083,,1.22144,,,0.6277,,0.8608,0.20491,,1.1102,2.2855,,0.004173,1.0
1980-01-21,0.240964,,1.5053,,1.22189,,,0.6232,,0.8613,0.20445,,1.1095,2.2835,,0.004149,1.0
1980-01-22,0.2405,,1.5006,,1.22204,,,0.6215,,0.8628,0.20512,,1.1088,2.275,,0.004172,1.0
1980-01-23,0.24079,,1.5035,,1.22204,,,0.6227,,0.8618,0.20588,,1.1115,2.2775,,0.004215,1.0
1980-01-24,0.240616,,1.5026,,1.22294,,,0.6217,,0.8644,0.2055,,1.1094,2.2778,,0.004178,1.0
1980-01-25,0.240587,,1.5004,,1.22309,,,0.6188,,0.8614,0.20491,,1.1083,2.261,,0.004174,1.0
1980-01-28,0.24024,,1.4993,,1.22354,,,0.6177,,0.8593,0.20366,,1.1076,2.2475,,0.004163,1.0
1980-01-29,0.24001,,1.4979,,1.22294,,,0.6184,,0.8593,0.20379,,1.1058,2.2495,,0.004178,1.0
1980-01-30,0.240154,,1.4986,,1.22294,,,0.6167,,0.8608,0.20379,,1.1072,2.262,,0.004175,1.0
1980-01-31,0.239981,,1.4945,,1.22369,,,0.6105,,0.8632,0.20379,,1.1067,2.2667,,0.004178,1.0
1980-02-01,0.240269,,1.4919,,1.22204,,,0.6122,,0.8651,0.2023,,1.1053,2.274,,0.004159,1.0
1980-02-04,0.240154,,1.4923,,1.22174,,,0.6131,,0.863,0.20136,,1.1062,2.2865,,0.004162,1.0
1980-02-05,0.240471,,1.4952,,1.22174,,,0.615,,0.8607,0.20173,,1.1074,2.2905,,0.004165,1.0
1980-02-06,0.241342,,1.4993,,1.2207,,,0.6227,,0.8623,0.2006,,1.1082,2.312,,0.004165,1.0
1980-02-07,0.24108,,1.4977,,1.22264,,,0.6188,,0.863,0.20016,,1.1091,2.3015,,0.004165,1.0
1980-02-08,0.2405,,1.4948,,1.22339,,,0.6177,,0.8628,0.20128,,1.1073,2.298,,0.004138,1.0
1980-02-11,0.240993,,1.4979,,1.22324,,,0.6184,,0.8629,0.20169,,1.1068,2.3047,,0.004143,1.0
1980-02-12,0.240993,,1.4966,,1.22324,,,0.6184,,0.8629,0.2023,,1.1068,2.3047,,0.004143,1.0
1980-02-13,0.241313,,1.5004,,1.22714,,,0.6198,,0.861,0.20169,,1.1065,2.308,,0.004131,1.0
1980-02-14,0.241022,,1.5011,,1.22774,,,0.6184,,0.8622,0.20136,,1.1065,2.3131,,0.004109,1.0
1980-02-15,0.240327,,1.497,,1.22804,,,0.6139,,0.8605,0.2008,,1.112,2.295,,0.004112,1.0
1980-02-18,0.240327,,1.4957,,1.22804,,,0.6139,,0.8605,0.2002,,1.112,2.295,,0.004112,1.0
1980-02-19,0.23932,,1.4899,,1.23152,,,0.6103,,0.8623,0.20092,,1.1033,2.272,,0.004076,1.0
1980-02-20,0.239722,,1.491,,1.23107,,,0.6083,,0.8657,0.20149,,1.1028,2.2794,,0.004064,1.0
1980-02-21,0.239751,,1.4903,,1.23334,,,0.6096,,0.8687,0.20056,,1.1025,2.2865,,0.004064,1.0
1980-02-22,0.23855,,1.4813,,1.23395,,,0.6017,,0.8674,0.20024,,1.101,2.2745,,0.004041,1.0
1980-02-25,0.238294,,1.4791,,1.23502,,,0.599,,0.8687,0.2002,,1.1,2.276,,0.004027,1.0
1980-02-26,0.238095,,1.4791,,1.23594,,,0.5986,,0.8693,0.19896,,1.0985,2.2767,,0.004031,1.0
1980-02-27,0.238124,,1.4782,,1.23594,,,0.6006,,0.8727,0.19774,,1.099,2.287,,0.004025,1.0
1980-02-28,0.238379,,1.48,,1.23793,,,0.5981,,0.8723,0.19704,,1.099,2.2848,,0.004026,1.0
1980-02-29,0.237361,,1.4689,,1.23777,,,0.5874,,0.8734,0.19688,,1.097,2.273,,0.003974,1.0
1980-03-03,0.236044,,1.4628,,1.23915,,,0.5831,,0.8749,0.19723,,1.0963,2.242,,0.004035,1.0
1980-03-04,0.234852,,1.4588,,1.23854,,,0.5811,,0.8674,0.19735,,1.0975,2.235,,0.004058,1.0
1980-03-05,0.235239,,1.4596,,1.23854,,,0.5846,,0.8716,0.19665,,1.097,2.24,,0.004051,1.0
1980-03-06,0.234412,,1.451,,1.23839,,,0.5831,,0.8671,0.19677,,1.095,2.2335,,0.004031,1.0
1980-03-07,0.233699,,1.4508,,1.23655,,,0.5831,,0.8639,0.19696,,1.095,2.227,,0.004035,1.0
1980-03-10,0.2331,,1.444,,1.23594,,,0.5764,,0.8593,0.19657,,1.094,2.2168,,0.004033,1.0
1980-03-11,0.233427,,1.4422,,1.23655,,,0.5765,,0.8584,0.19665,,1.0959,2.2265,,0.004044,1.0
1980-03-12,0.233372,,1.4436,,1.23747,,,0.5782,,0.8567,0.19665,,1.0962,2.2335,,0.00404,1.0
1980-03-13,0.232612,,1.4341,,1.23762,,,0.5734,,0.8551,0.19557,,1.0945,2.223,,0.004031,1.0
1980-03-14,0.231535,,1.4219,,1.23395,,,0.5701,,0.8485,0.19588,,1.0932,2.213,,0.004015,1.0
